ticket_id,title,description,priority,category,status,created_date,assigned_team,resolution,tags
INC-1122,Guest network access needed,Guest network access needed - User reported issue via email/phone. Initial assessment completed.,P3,Network & Connectivity,Pending,2026-04-08 20:30,Cloud Infrastructure,"Reset network adapter, connected","training,software,security"
INC-1140,Cannot access internal website,Cannot access internal website - User reported issue via email/phone. Initial assessment completed.,P1,Network & Connectivity,Resolved,2026-04-08 20:30,Network Team,"Replaced ethernet cable, working now",security
INC-1144,DNS resolution error,DNS resolution error - User reported issue via email/phone. Initial assessment completed.,P2,Network & Connectivity,In Progress,2026-04-08 20:30,Database Team,Reconfigured VPN profile,"access,hardware"
INC-1197,Database connection error,Database connection error - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,Resolved,2026-04-08 20:30,Network Team,"API timeout increased, fixed",performance
INC-1225,SSL certificate expiring,SSL certificate expiring - User reported issue via email/phone. Initial assessment completed.,P1,Infrastructure,Resolved,2026-04-08 20:30,Database Team,"Cleared backup queue, completed",hardware
INC-1011,2FA not working,2FA not working - User reported issue via email/phone. Initial assessment completed.,P2,Access & Authentication,In Progress,2026-04-07 20:30,Application Support,"Configured MFA, user confirmed working","software,hardware"
INC-1016,2FA not working,2FA not working - User reported issue via email/phone. Initial assessment completed.,P1,Access & Authentication,In Progress,2026-04-07 20:30,Security Team,"Configured MFA, user confirmed working",infrastructure
INC-1239,Container restart needed,Container restart needed - User reported issue via email/phone. Initial assessment completed.,P2,Infrastructure,Escalated,2026-04-07 20:30,Database Team,"Cleared backup queue, completed","performance,access"
INC-1109,Software installation request,Software installation request - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Escalated,2026-04-06 20:30,Security Team,"Reinstalled OS, issue resolved",authentication
INC-1217,Calendar invites not working,Calendar invites not working - User reported issue via email/phone. Initial assessment completed.,P3,Application Issues,Pending,2026-04-06 20:30,Desktop Support,"Cleared cache, app working now",security
INC-1047,Need access to shared drive,Need access to shared drive - User reported issue via email/phone. Initial assessment completed.,P1,Access & Authentication,Resolved,2026-04-05 20:30,Desktop Support,"Re-synced OAuth tokens, working now","infrastructure,authentication,hardware"
INC-1166,Report generation slow,Report generation slow - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,Escalated,2026-04-05 20:30,Security Team,"Cleared cache, app working now","security,software,performance"
INC-1173,Mobile app not loading,Mobile app not loading - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,In Progress,2026-04-05 20:30,Network Team,"API timeout increased, fixed","network,security,software"
INC-1046,Permissions not applied,Permissions not applied - User reported issue via email/phone. Initial assessment completed.,P3,Access & Authentication,Resolved,2026-04-04 20:30,Security Team,Added to correct security group,"access,performance,cloud"
INC-1078,Software installation request,Software installation request - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Escalated,2026-04-04 20:30,Network Team,"Installed latest updates, no more crashes",authentication
INC-1178,API integration failing,API integration failing - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,In Progress,2026-04-04 20:30,Cloud Infrastructure,"API timeout increased, fixed","security,infrastructure,access"
INC-1216,Calendar invites not working,Calendar invites not working - User reported issue via email/phone. Initial assessment completed.,P3,Application Issues,Escalated,2026-04-04 20:30,Cloud Infrastructure,"Re-deployed container, no more issues","training,hardware,performance"
INC-1249,Load balancer alert,Load balancer alert - User reported issue via email/phone. Initial assessment completed.,P1,Infrastructure,Resolved,2026-04-04 20:30,Security Team,"Renewed SSL certificate, all green","performance,training"
INC-1267,Training material request,Training material request - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Resolved,2026-04-04 20:30,Cloud Infrastructure,Escalated to manager for approval,"cloud,security"
INC-1297,Training material request,Training material request - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Resolved,2026-04-04 20:30,Security Team,Escalated to manager for approval,"authentication,cloud"
INC-1004,OAuth token expired,OAuth token expired - User reported issue via email/phone. Initial assessment completed.,P2,Access & Authentication,Pending,2026-04-03 20:30,Database Team,"Reset password, user can now login",cloud
INC-1128,Slow internet connection,Slow internet connection - User reported issue via email/phone. Initial assessment completed.,P2,Network & Connectivity,Resolved,2026-04-03 20:30,Database Team,"Replaced ethernet cable, working now",training
INC-1273,How to setup email on phone,How to setup email on phone - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Pending,2026-04-03 20:30,Desktop Support,Scheduled training session,"cloud,infrastructure"
INC-1274,Budget approval needed,Budget approval needed - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Resolved,2026-04-03 20:30,Database Team,Provided documentation links,infrastructure
INC-1044,2FA not working,2FA not working - User reported issue via email/phone. Initial assessment completed.,P3,Access & Authentication,Escalated,2026-04-02 20:30,Database Team,"Verified AD account, unlocked now",cloud
INC-1088,Laptop not booting,Laptop not booting - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Escalated,2026-04-02 20:30,Network Team,"Replaced keyboard/mouse, working","training,security"
INC-1055,Audio not working,Audio not working - User reported issue via email/phone. Initial assessment completed.,P2,Hardware/Software,In Progress,2026-04-01 20:30,Application Support,"Replaced keyboard/mouse, working","security,authentication,infrastructure"
INC-1093,Laptop not booting,Laptop not booting - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Pending,2026-04-01 20:30,Security Team,"Updated drivers, problem fixed",security
INC-1245,Database performance issues,Database performance issues - User reported issue via email/phone. Initial assessment completed.,P1,Infrastructure,Resolved,2026-04-01 20:30,Network Team,"Cleared backup queue, completed","access,security"
INC-1296,IT policy question,IT policy question - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Pending,2026-04-01 20:30,Database Team,Sent policy documentation,"performance,cloud"
INC-1021,SSO authentication error,SSO authentication error - User reported issue via email/phone. Initial assessment completed.,P1,Access & Authentication,In Progress,2026-03-31 20:30,Database Team,"Reset password, user can now login","network,access,authentication"
INC-1169,Calendar invites not working,Calendar invites not working - User reported issue via email/phone. Initial assessment completed.,P3,Application Issues,Escalated,2026-03-31 20:30,Database Team,"Updated to latest version, resolved","training,authentication"
INC-1238,Cloud service unreachable,Cloud service unreachable - User reported issue via email/phone. Initial assessment completed.,P1,Infrastructure,In Progress,2026-03-31 20:30,Database Team,"Restarted services, resolved","cloud,access,infrastructure"
INC-1278,Budget approval needed,Budget approval needed - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Escalated,2026-03-31 20:30,Application Support,Scheduled training session,"access,performance"
INC-1043,2FA not working,2FA not working - User reported issue via email/phone. Initial assessment completed.,P1,Access & Authentication,Resolved,2026-03-30 20:30,Security Team,Added to correct security group,"training,access"
INC-1072,Blue screen error,Blue screen error - User reported issue via email/phone. Initial assessment completed.,P2,Hardware/Software,Resolved,2026-03-30 20:30,Desktop Support,"Reinstalled OS, issue resolved",performance
INC-1108,Application crashes frequently,Application crashes frequently - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Pending,2026-03-30 20:30,Database Team,"Reinstalled OS, issue resolved",cloud
INC-1160,Slack notifications missing,Slack notifications missing - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,In Progress,2026-03-30 20:30,Desktop Support,"Updated to latest version, resolved","security,authentication"
INC-1193,CRM system slow,CRM system slow - User reported issue via email/phone. Initial assessment completed.,P3,Application Issues,In Progress,2026-03-30 20:30,Network Team,"Re-deployed container, no more issues",access
INC-1232,Storage space running low,Storage space running low - User reported issue via email/phone. Initial assessment completed.,P1,Infrastructure,Resolved,2026-03-30 20:30,Application Support,"Added storage volume, space available","software,access,training"
INC-1036,2FA not working,2FA not working - User reported issue via email/phone. Initial assessment completed.,P2,Access & Authentication,In Progress,2026-03-29 20:30,Desktop Support,"Verified AD account, unlocked now",authentication
INC-1201,API integration failing,API integration failing - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,In Progress,2026-03-29 20:30,Network Team,"Cleared cache, app working now","network,training,infrastructure"
INC-1285,How to setup email on phone,How to setup email on phone - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,In Progress,2026-03-29 20:30,Desktop Support,Escalated to manager for approval,"hardware,security"
INC-1002,OAuth token expired,OAuth token expired - User reported issue via email/phone. Initial assessment completed.,P3,Access & Authentication,In Progress,2026-03-28 20:30,Cloud Infrastructure,"Reset password, user can now login","authentication,hardware"
INC-1116,DNS resolution error,DNS resolution error - User reported issue via email/phone. Initial assessment completed.,P2,Network & Connectivity,Resolved,2026-03-28 20:30,Cloud Infrastructure,"Updated DNS settings, resolved",access
INC-1147,WiFi not connecting,WiFi not connecting - User reported issue via email/phone. Initial assessment completed.,P1,Network & Connectivity,In Progress,2026-03-27 20:30,Security Team,"Updated DNS settings, resolved","cloud,training,security"
INC-1257,Storage space running low,Storage space running low - User reported issue via email/phone. Initial assessment completed.,P2,Infrastructure,In Progress,2026-03-27 20:30,Desktop Support,"Added storage volume, space available",security
INC-1283,IT policy question,IT policy question - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Pending,2026-03-27 20:30,Application Support,Escalated to manager for approval,network
INC-1163,Calendar invites not working,Calendar invites not working - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,Escalated,2026-03-26 20:30,Application Support,"Cleared cache, app working now","infrastructure,training,performance"
INC-1034,Permissions not applied,Permissions not applied - User reported issue via email/phone. Initial assessment completed.,P1,Access & Authentication,In Progress,2026-03-25 20:30,Security Team,"Verified AD account, unlocked now",infrastructure
INC-1236,Backup failed,Backup failed - User reported issue via email/phone. Initial assessment completed.,P1,Infrastructure,Resolved,2026-03-25 20:30,Security Team,"Restarted services, resolved",hardware
INC-1244,Database performance issues,Database performance issues - User reported issue via email/phone. Initial assessment completed.,P1,Infrastructure,In Progress,2026-03-25 20:30,Network Team,"Added storage volume, space available",access
INC-1270,Training material request,Training material request - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Pending,2026-03-25 20:30,Cloud Infrastructure,Provided documentation links,security
INC-1030,Permissions not applied,Permissions not applied - User reported issue via email/phone. Initial assessment completed.,P2,Access & Authentication,In Progress,2026-03-24 20:30,Database Team,"Configured MFA, user confirmed working",performance
INC-1282,Process clarification,Process clarification - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Escalated,2026-03-24 20:30,Security Team,Provided documentation links,"software,access"
INC-1102,Keyboard not responding,Keyboard not responding - User reported issue via email/phone. Initial assessment completed.,P2,Hardware/Software,Escalated,2026-03-23 20:30,Security Team,"Replaced hardware, working now","software,access"
INC-1289,New employee onboarding,New employee onboarding - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Resolved,2026-03-23 20:30,Application Support,Provided documentation links,"infrastructure,performance,software"
INC-1170,Slack notifications missing,Slack notifications missing - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,In Progress,2026-03-22 20:30,Application Support,"Cleared cache, app working now","network,cloud,training"
INC-1210,API integration failing,API integration failing - User reported issue via email/phone. Initial assessment completed.,P3,Application Issues,Escalated,2026-03-22 20:30,Database Team,"Cleared cache, app working now","training,network"
INC-1008,Account locked out,Account locked out - User reported issue via email/phone. Initial assessment completed.,P2,Access & Authentication,In Progress,2026-03-21 20:30,Network Team,"Verified AD account, unlocked now","authentication,access,performance"
INC-1132,DNS resolution error,DNS resolution error - User reported issue via email/phone. Initial assessment completed.,P1,Network & Connectivity,In Progress,2026-03-20 20:30,Cloud Infrastructure,"Reset network adapter, connected","cloud,hardware,security"
INC-1135,WiFi not connecting,WiFi not connecting - User reported issue via email/phone. Initial assessment completed.,P3,Network & Connectivity,Escalated,2026-03-20 20:30,Security Team,"Updated DNS settings, resolved",hardware
INC-1151,Slow internet connection,Slow internet connection - User reported issue via email/phone. Initial assessment completed.,P1,Network & Connectivity,In Progress,2026-03-20 20:30,Cloud Infrastructure,"Replaced ethernet cable, working now","authentication,performance"
INC-1177,API integration failing,API integration failing - User reported issue via email/phone. Initial assessment completed.,P3,Application Issues,In Progress,2026-03-20 20:30,Cloud Infrastructure,"Cleared cache, app working now",software
INC-1179,Email not syncing,Email not syncing - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,Pending,2026-03-20 20:30,Security Team,"API timeout increased, fixed","infrastructure,access"
INC-1060,Keyboard not responding,Keyboard not responding - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,In Progress,2026-03-19 20:30,Cloud Infrastructure,"Updated drivers, problem fixed","training,software"
INC-1081,Mouse not working,Mouse not working - User reported issue via email/phone. Initial assessment completed.,P2,Hardware/Software,Escalated,2026-03-19 20:30,Desktop Support,"Installed latest updates, no more crashes","software,security,access"
INC-1221,Disk space critical,Disk space critical - User reported issue via email/phone. Initial assessment completed.,P2,Infrastructure,Pending,2026-03-19 20:30,Security Team,"Added storage volume, space available","hardware,access,software"
INC-1006,OAuth token expired,OAuth token expired - User reported issue via email/phone. Initial assessment completed.,P3,Access & Authentication,Resolved,2026-03-18 20:30,Desktop Support,"Re-synced OAuth tokens, working now","security,authentication"
INC-1037,Account locked out,Account locked out - User reported issue via email/phone. Initial assessment completed.,P1,Access & Authentication,Resolved,2026-03-18 20:30,Security Team,Added to correct security group,"security,network"
INC-1255,Load balancer alert,Load balancer alert - User reported issue via email/phone. Initial assessment completed.,P2,Infrastructure,Pending,2026-03-18 20:30,Database Team,"Cleared backup queue, completed","performance,security"
INC-1056,Printer not working,Printer not working - User reported issue via email/phone. Initial assessment completed.,P2,Hardware/Software,In Progress,2026-03-17 20:30,Desktop Support,"Replaced keyboard/mouse, working","authentication,security"
INC-1071,Printer not working,Printer not working - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Escalated,2026-03-17 20:30,Security Team,"Reinstalled OS, issue resolved","cloud,software"
INC-1097,Blue screen error,Blue screen error - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,In Progress,2026-03-17 20:30,Network Team,"Replaced keyboard/mouse, working",authentication
INC-1100,Mouse not working,Mouse not working - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Resolved,2026-03-17 20:30,Network Team,"Updated drivers, problem fixed","access,cloud"
INC-1125,Cannot access internal website,Cannot access internal website - User reported issue via email/phone. Initial assessment completed.,P3,Network & Connectivity,Escalated,2026-03-17 20:30,Security Team,Reconfigured VPN profile,"software,security,performance"
INC-1284,Equipment request,Equipment request - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Resolved,2026-03-17 20:30,Cloud Infrastructure,Created onboarding ticket,"infrastructure,authentication"
INC-1001,Password reset required,Password reset required - User reported issue via email/phone. Initial assessment completed.,P2,Access & Authentication,Pending,2026-03-16 20:30,Cloud Infrastructure,"Verified AD account, unlocked now","access,software,security"
INC-1024,Permissions not applied,Permissions not applied - User reported issue via email/phone. Initial assessment completed.,P1,Access & Authentication,Resolved,2026-03-16 20:30,Security Team,"Configured MFA, user confirmed working","authentication,security,cloud"
INC-1075,Software installation request,Software installation request - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Pending,2026-03-16 20:30,Cloud Infrastructure,"Installed latest updates, no more crashes",security
INC-1103,Mouse not working,Mouse not working - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Escalated,2026-03-15 20:30,Application Support,"Reinstalled OS, issue resolved","cloud,infrastructure,software"
INC-1247,Server down,Server down - User reported issue via email/phone. Initial assessment completed.,P2,Infrastructure,In Progress,2026-03-15 20:30,Application Support,"Added storage volume, space available","network,authentication"
INC-1010,Cannot login to email,Cannot login to email - User reported issue via email/phone. Initial assessment completed.,P3,Access & Authentication,Escalated,2026-03-14 20:30,Desktop Support,"Configured MFA, user confirmed working",performance
INC-1067,Keyboard not responding,Keyboard not responding - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Resolved,2026-03-14 20:30,Desktop Support,"Updated drivers, problem fixed",hardware
INC-1084,Laptop not booting,Laptop not booting - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Pending,2026-03-14 20:30,Database Team,"Reinstalled OS, issue resolved","authentication,access,training"
INC-1174,Teams call issues,Teams call issues - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,Escalated,2026-03-14 20:30,Desktop Support,"API timeout increased, fixed",software
INC-1202,API integration failing,API integration failing - User reported issue via email/phone. Initial assessment completed.,P3,Application Issues,Escalated,2026-03-14 20:30,Database Team,"Cleared cache, app working now",cloud
INC-1272,IT policy question,IT policy question - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Resolved,2026-03-14 20:30,Desktop Support,Escalated to manager for approval,"performance,infrastructure"
INC-1141,Network drive mapping failed,Network drive mapping failed - User reported issue via email/phone. Initial assessment completed.,P1,Network & Connectivity,Resolved,2026-03-13 20:30,Application Support,"Reset network adapter, connected","cloud,access,training"
INC-1234,SSL certificate expiring,SSL certificate expiring - User reported issue via email/phone. Initial assessment completed.,P1,Infrastructure,Resolved,2026-03-13 20:30,Database Team,"Added storage volume, space available","cloud,hardware"
INC-1009,Permissions not applied,Permissions not applied - User reported issue via email/phone. Initial assessment completed.,P2,Access & Authentication,Escalated,2026-03-12 20:30,Network Team,"Verified AD account, unlocked now",hardware
INC-1017,Permissions not applied,Permissions not applied - User reported issue via email/phone. Initial assessment completed.,P3,Access & Authentication,Resolved,2026-03-12 20:30,Application Support,"Verified AD account, unlocked now","network,access,cloud"
INC-1214,Report generation slow,Report generation slow - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,Resolved,2026-03-12 20:30,Desktop Support,"Updated to latest version, resolved","network,security,authentication"
INC-1053,Account locked out,Account locked out - User reported issue via email/phone. Initial assessment completed.,P3,Access & Authentication,In Progress,2026-03-11 20:30,Security Team,Added to correct security group,"security,infrastructure,hardware"
INC-1090,Software license request,Software license request - User reported issue via email/phone. Initial assessment completed.,P3,Hardware/Software,Pending,2026-03-11 20:30,Cloud Infrastructure,"Replaced keyboard/mouse, working",performance
INC-1176,Slack notifications missing,Slack notifications missing - User reported issue via email/phone. Initial assessment completed.,P2,Application Issues,In Progress,2026-03-11 20:30,Application Support,"Re-deployed container, no more issues","access,security,hardware"
INC-1265,Process clarification,Process clarification - User reported issue via email/phone. Initial assessment completed.,P3,General Inquiries,Pending,2026-03-11 20:30,Application Support,Scheduled training session,"cloud,security,performance"
INC-1118,VPN tunnel dropped,VPN tunnel dropped - User reported issue via email/phone. Initial assessment completed.,P2,Network & Connectivity,Pending,2026-03-10 20:30,Desktop Support,"Added firewall exception, access granted",infrastructure
INC-1164,Email not syncing,Email not syncing - User reported issue via email/phone. Initial assessment completed.,P3,Application Issues,Escalated,2026-03-10 20:30,Application Support,"API timeout increased, fixed","hardware,infrastructure"
INC-1182,Data export not working,Data export not working - User reported issue via email/phone. Initial assessment completed.,P3,Application Issues,Resolved,2026-03-10 20:30,Security Team,"Database query optimized, faster now",training
